antecedents,consequents,support,confidence,lift
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'CANDLEHOLDER PINK HANGING HEART'})",0.020163020163020164,0.26404494382022475,8.548455056179776
"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'CANDLEHOLDER PINK HANGING HEART'})",frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),0.020163020163020164,0.6527777777777778,8.548455056179776
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.023166023166023165,0.5869565217391305,8.342656415694591
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.023166023166023165,0.3292682926829268,8.342656415694591
frozenset({'CANDLEHOLDER PINK HANGING HEART'}),frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),0.022737022737022737,0.6022727272727273,7.887065883554649
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'CANDLEHOLDER PINK HANGING HEART'}),0.022737022737022737,0.29775280898876405,7.887065883554647
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.02059202059202059,0.2926829268292683,7.665661825157578
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.02059202059202059,0.5393258426966292,7.665661825157577
"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'HEART OF WICKER SMALL'})",frozenset({'HEART OF WICKER LARGE'}),0.023595023595023596,0.6470588235294118,7.50395083406497
frozenset({'HEART OF WICKER LARGE'}),"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'HEART OF WICKER SMALL'})",0.023595023595023596,0.2736318407960199,7.503950834064968
frozenset({'JAM MAKING SET PRINTED'}),frozenset({'JAM MAKING SET WITH JARS'}),0.028743028743028743,0.41358024691358025,6.935651478816947
frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'JAM MAKING SET PRINTED'}),0.028743028743028743,0.48201438848920863,6.935651478816946
frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),frozenset({'RETROSPOT HEART HOT WATER BOTTLE'}),0.03003003003003003,0.4375,6.4139150943396235
frozenset({'RETROSPOT HEART HOT WATER BOTTLE'}),frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),0.03003003003003003,0.44025157232704404,6.4139150943396235
frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.02616902616902617,0.38125000000000003,6.30279255319149
frozenset({'CHOCOLATE HOT WATER BOTTLE'}),frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),0.02616902616902617,0.4326241134751773,6.30279255319149
frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.053625053625053626,0.5252100840336135,6.090869183494293
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.053625053625053626,0.6218905472636815,6.090869183494292
frozenset({'HEART OF WICKER SMALL'}),"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'HEART OF WICKER LARGE'})",0.023595023595023596,0.23109243697478993,6.0525446133509595
"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'HEART OF WICKER LARGE'})",frozenset({'HEART OF WICKER SMALL'}),0.023595023595023596,0.6179775280898877,6.052544613350959
"frozenset({'CANDLEHOLDER PINK HANGING HEART', 'RED HANGING HEART T-LIGHT HOLDER'})",frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.020163020163020164,0.8867924528301887,5.468553459119497
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),"frozenset({'CANDLEHOLDER PINK HANGING HEART', 'RED HANGING HEART T-LIGHT HOLDER'})",0.020163020163020164,0.12433862433862433,5.468553459119496
frozenset({'RETROSPOT HEART HOT WATER BOTTLE'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.02230802230802231,0.32704402515723274,5.406663990365316
frozenset({'CHOCOLATE HOT WATER BOTTLE'}),frozenset({'RETROSPOT HEART HOT WATER BOTTLE'}),0.02230802230802231,0.3687943262411348,5.406663990365316
frozenset({'RETROSPOT HEART HOT WATER BOTTLE'}),frozenset({'GREY HEART HOT WATER BOTTLE'}),0.022737022737022737,0.33333333333333337,5.321917808219178
frozenset({'GREY HEART HOT WATER BOTTLE'}),frozenset({'RETROSPOT HEART HOT WATER BOTTLE'}),0.022737022737022737,0.36301369863013694,5.321917808219178
frozenset({'CANDLEHOLDER PINK HANGING HEART'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.03088803088803089,0.8181818181818181,5.045454545454545
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'CANDLEHOLDER PINK HANGING HEART'}),0.03088803088803089,0.19047619047619047,5.045454545454545
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.05019305019305019,0.6573033707865169,4.0533707865168545
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),0.05019305019305019,0.3095238095238095,4.053370786516854
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'HEART OF WICKER LARGE'}),0.023166023166023165,0.30337078651685395,3.518195539158142
frozenset({'HEART OF WICKER LARGE'}),frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),0.023166023166023165,0.26865671641791045,3.518195539158142
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.02445302445302445,0.15079365079365079,3.1666666666666665
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.02445302445302445,0.5135135135135135,3.1666666666666665
frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.02230802230802231,0.49056603773584906,3.0251572327044025
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),0.02230802230802231,0.13756613756613756,3.0251572327044025
frozenset({'HEART OF WICKER SMALL'}),frozenset({'NATURAL SLATE HEART CHALKBOARD'}),0.02145002145002145,0.21008403361344538,2.9679144385026737
frozenset({'NATURAL SLATE HEART CHALKBOARD'}),frozenset({'HEART OF WICKER SMALL'}),0.02145002145002145,0.303030303030303,2.9679144385026732
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'HEART OF WICKER SMALL'}),0.02230802230802231,0.2921348314606742,2.8612029081295445
frozenset({'HEART OF WICKER SMALL'}),frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),0.02230802230802231,0.2184873949579832,2.861202908129544
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'}),0.02230802230802231,0.13756613756613756,2.837758112094395
frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.02230802230802231,0.46017699115044247,2.837758112094395
frozenset({'HEART OF WICKER LARGE'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.03818103818103818,0.4427860696517412,2.7305140961857375
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'HEART OF WICKER LARGE'}),0.03818103818103818,0.2354497354497354,2.7305140961857375
"frozenset({'HEART OF WICKER SMALL', 'HEART OF WICKER LARGE'})",frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.023595023595023596,0.44,2.7133333333333334
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),"frozenset({'HEART OF WICKER SMALL', 'HEART OF WICKER LARGE'})",0.023595023595023596,0.1455026455026455,2.713333333333333
frozenset({'WOODEN FRAME ANTIQUE WHITE'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.024882024882024883,0.4328358208955224,2.6691542288557213
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'WOODEN FRAME ANTIQUE WHITE'}),0.024882024882024883,0.15343915343915343,2.6691542288557213
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'LOVE BUILDING BLOCK WORD'}),0.02059202059202059,0.12698412698412698,2.466666666666667
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.02059202059202059,0.4,2.466666666666667
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'NATURAL SLATE HEART CHALKBOARD'}),0.02616902616902617,0.16137566137566137,2.2797979797979795
frozenset({'NATURAL SLATE HEART CHALKBOARD'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.02616902616902617,0.3696969696969697,2.2797979797979795
frozenset({'HEART OF WICKER SMALL'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.03646503646503647,0.35714285714285715,2.202380952380952
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'HEART OF WICKER SMALL'}),0.03646503646503647,0.22486772486772486,2.202380952380952
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'GREY HEART HOT WATER BOTTLE'}),0.02059202059202059,0.12698412698412698,2.0273972602739723
frozenset({'GREY HEART HOT WATER BOTTLE'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.02059202059202059,0.3287671232876712,2.0273972602739723
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.021879021879021878,0.1349206349206349,1.917682926829268
frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.021879021879021878,0.3109756097560975,1.9176829268292679
frozenset({'RETROSPOT HEART HOT WATER BOTTLE'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.02059202059202059,0.30188679245283023,1.8616352201257864
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'RETROSPOT HEART HOT WATER BOTTLE'}),0.02059202059202059,0.12698412698412698,1.8616352201257862
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),0.02059202059202059,0.12698412698412698,1.85
frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.02059202059202059,0.3,1.8499999999999999
