Age,Work_Experience,Family_Size,Gender_Male,Ever_Married_Yes,Graduated_Yes,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Spending_Score_High,Spending_Score_Low,Age_Group,Family_Category
42.0,0.0,4.0,True,False,True,False,False,False,False,False,False,False,False,False,True,2,1
79.0,1.0,2.0,True,True,False,False,False,False,True,False,False,False,False,True,False,3,0
35.0,9.0,3.0,False,True,True,False,False,False,False,True,False,False,False,True,False,1,1
27.0,5.0,4.0,True,True,False,False,False,False,True,False,False,False,False,True,False,1,1
52.0,1.0,2.0,True,True,True,False,True,False,False,False,False,False,False,False,True,2,0
29.0,0.0,4.0,False,False,True,False,False,False,False,True,False,False,False,False,True,1,1
79.0,1.0,2.0,False,True,False,False,False,False,False,False,False,True,False,True,False,3,0
87.0,1.0,2.0,True,True,True,False,False,False,False,False,False,True,False,True,False,3,0
89.0,1.0,2.0,True,True,False,False,False,False,False,False,False,True,False,False,True,3,0
63.0,9.0,3.0,True,True,True,False,False,False,False,False,False,False,False,False,False,3,1
31.0,1.0,2.0,True,False,False,False,False,False,False,False,False,False,False,False,True,1,0
72.0,1.0,6.0,True,True,True,False,False,False,False,False,False,False,False,False,False,3,2
41.0,9.0,2.0,False,True,True,True,False,False,False,False,False,False,False,False,False,2,0
61.0,11.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,True,3,0
62.0,0.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,True,3,0
56.0,1.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,False,2,0
60.0,2.0,5.0,True,True,True,False,False,False,False,False,False,False,False,False,False,2,1
68.0,0.0,2.0,True,True,True,False,False,False,False,False,False,False,False,True,False,3,0
19.0,1.0,8.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,2
57.0,8.0,3.0,True,True,True,False,False,False,True,False,False,False,False,True,False,2,1
19.0,5.0,5.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,1
51.0,3.0,6.0,False,True,True,False,False,False,False,False,False,False,False,False,False,2,2
86.0,1.0,2.0,False,True,False,False,False,False,False,False,False,False,False,True,False,3,0
74.0,1.0,2.0,False,True,False,False,False,False,False,False,False,True,False,True,False,3,0
23.0,6.0,2.0,True,False,False,False,False,True,False,False,False,False,False,False,True,0,0
47.0,0.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,False,2,0
19.0,7.0,6.0,False,False,False,False,False,False,False,True,False,False,False,False,True,0,2
50.0,0.0,4.0,True,True,False,False,False,False,False,False,False,False,False,True,False,2,1
80.0,1.0,2.0,True,True,True,False,False,False,False,False,False,True,False,True,False,3,0
78.0,1.0,1.0,True,True,False,False,False,False,False,False,False,True,False,False,True,3,0
48.0,0.0,1.0,False,False,True,True,False,False,False,False,False,False,False,False,True,2,0
70.0,1.0,2.0,True,True,True,True,False,False,False,False,False,False,False,False,False,3,0
50.0,3.0,5.0,True,True,True,False,False,False,True,False,False,False,False,True,False,2,1
83.0,0.0,2.0,False,True,True,False,False,False,False,False,False,True,False,True,False,3,0
35.0,0.0,1.0,True,False,True,False,False,True,False,False,False,False,False,False,True,1,0
36.0,0.0,2.0,False,False,True,False,False,False,False,False,False,False,False,False,True,1,0
35.0,1.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,True,1,0
35.0,0.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,False,1,0
18.0,3.0,3.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,1
73.0,1.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,3,0
62.0,1.0,3.0,True,True,False,False,False,False,False,False,False,False,False,True,False,3,1
46.0,1.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,2,0
43.0,0.0,4.0,True,True,True,False,False,True,False,False,False,False,False,False,True,2,1
32.0,7.0,1.0,False,False,True,False,False,True,False,False,False,False,False,False,True,1,0
39.0,0.0,1.0,True,False,True,False,False,False,False,False,False,False,False,False,True,1,0
89.0,0.0,2.0,False,True,True,False,False,False,False,False,False,True,False,True,False,3,0
18.0,0.0,3.0,False,False,False,False,False,False,False,True,False,False,False,False,True,0,1
57.0,0.0,2.0,False,True,True,False,False,False,False,False,False,False,False,True,False,2,0
18.0,0.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False,True,0,1
71.0,1.0,2.0,False,True,True,False,False,False,False,False,False,False,False,True,False,3,0
69.0,0.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,3,0
42.0,0.0,4.0,False,False,True,False,False,False,False,True,False,False,False,False,True,2,1
80.0,1.0,2.0,False,True,True,False,False,False,False,False,False,True,False,True,False,3,0
69.0,1.0,1.0,True,True,False,False,False,True,False,False,False,False,False,False,True,3,0
67.0,0.0,3.0,False,True,True,False,False,False,False,False,False,False,False,False,False,3,1
47.0,1.0,4.0,False,True,True,True,False,False,False,False,False,False,False,False,False,2,1
49.0,0.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,2,0
32.0,9.0,4.0,False,True,False,False,True,False,False,False,False,False,False,False,True,1,1
65.0,1.0,4.0,False,True,True,False,False,False,False,False,False,True,False,False,False,3,1
78.0,0.0,2.0,False,True,False,False,False,False,False,False,False,True,False,True,False,3,0
33.0,1.0,6.0,True,False,True,False,False,False,False,False,False,False,False,False,True,1,2
48.0,1.0,1.0,True,True,True,False,False,False,False,False,False,False,False,False,True,2,0
58.0,1.0,5.0,True,True,True,False,False,False,True,False,False,False,False,False,False,2,1
83.0,1.0,2.0,False,True,True,False,False,False,False,False,False,True,False,True,False,3,0
30.0,9.0,4.0,False,False,False,False,False,False,False,True,False,False,False,False,True,1,1
35.0,0.0,2.0,False,False,True,False,False,False,False,False,False,False,False,False,True,1,0
32.0,6.0,5.0,True,False,True,False,False,False,False,True,False,False,False,False,True,1,1
69.0,1.0,2.0,True,True,True,False,False,False,False,False,True,False,False,True,False,3,0
71.0,1.0,2.0,False,True,True,False,False,False,False,False,False,True,False,True,False,3,0
43.0,0.0,1.0,True,False,True,False,False,False,False,False,False,True,False,False,True,2,0
37.0,0.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,True,1,0
42.0,0.0,1.0,True,False,True,True,False,False,False,False,False,False,False,False,True,2,0
70.0,1.0,2.0,False,True,True,True,False,False,False,False,False,False,False,False,False,3,0
46.0,0.0,2.0,True,False,True,False,False,False,False,False,False,False,False,False,True,2,0
21.0,1.0,2.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,0
70.0,0.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,False,3,0
61.0,1.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,True,3,0
60.0,1.0,1.0,True,True,True,False,False,True,False,False,False,False,False,False,True,2,0
37.0,0.0,2.0,True,False,True,False,False,True,False,False,False,False,False,False,True,1,0
30.0,1.0,2.0,True,True,True,False,False,False,False,True,False,False,False,False,True,1,0
32.0,1.0,3.0,False,False,True,False,True,False,False,False,False,False,False,False,True,1,1
26.0,0.0,3.0,True,True,True,False,False,False,True,False,False,False,False,False,True,1,1
42.0,0.0,1.0,True,False,True,False,False,False,False,False,False,False,True,False,True,2,0
18.0,1.0,2.0,False,False,False,True,False,False,False,False,False,False,False,False,True,0,0
80.0,1.0,2.0,True,True,False,False,False,False,True,False,False,False,False,False,True,3,0
29.0,8.0,2.0,True,True,True,False,False,False,False,True,False,False,False,True,False,1,0
88.0,1.0,2.0,False,True,True,False,False,False,False,False,False,False,False,True,False,3,0
70.0,1.0,1.0,True,True,True,False,False,False,False,False,False,True,False,False,True,3,0
50.0,1.0,4.0,False,True,True,False,False,False,False,False,False,False,False,True,False,2,1
43.0,4.0,4.0,True,True,True,True,False,False,False,False,False,False,False,False,False,2,1
51.0,6.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,False,2,0
50.0,1.0,3.0,False,True,True,False,False,False,False,False,False,False,False,True,False,2,1
74.0,1.0,1.0,False,True,False,False,False,False,False,False,True,False,False,False,True,3,0
29.0,1.0,3.0,False,False,True,False,False,False,False,True,False,False,False,False,True,1,1
32.0,1.0,2.0,False,False,True,False,True,False,False,False,False,False,False,False,True,1,0
60.0,0.0,2.0,True,True,False,False,False,False,True,False,False,False,False,False,True,2,0
46.0,2.0,1.0,True,False,True,False,False,False,False,False,False,False,False,False,True,2,0
81.0,0.0,2.0,False,True,True,False,False,False,False,False,False,False,True,False,True,3,0
41.0,1.0,7.0,True,True,False,False,True,False,False,False,False,False,False,False,False,2,2
22.0,0.0,4.0,True,True,False,False,False,False,True,False,False,False,False,True,False,0,1
37.0,0.0,3.0,True,True,True,False,False,False,False,False,False,False,False,False,False,1,1
43.0,0.0,1.0,True,True,False,False,True,False,False,False,False,False,False,False,True,2,0
50.0,1.0,3.0,True,True,True,False,False,False,False,False,False,False,False,False,False,2,1
35.0,1.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,1,0
65.0,1.0,2.0,True,True,False,False,False,False,False,False,False,True,False,True,False,3,0
41.0,0.0,4.0,False,False,True,False,True,False,False,False,False,False,False,False,True,2,1
28.0,8.0,2.0,True,False,False,False,False,True,False,False,False,False,False,False,True,1,0
55.0,4.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,False,2,0
58.0,1.0,2.0,False,True,False,False,False,False,False,False,False,True,False,True,False,2,0
28.0,1.0,3.0,True,False,False,False,False,False,False,True,False,False,False,False,True,1,1
48.0,1.0,4.0,True,True,True,False,False,False,False,False,False,False,False,False,False,2,1
78.0,1.0,2.0,False,True,False,True,False,False,False,False,False,False,False,True,False,3,0
35.0,1.0,3.0,False,False,True,True,False,False,False,False,False,False,False,False,True,1,1
76.0,0.0,2.0,False,True,True,False,False,False,False,False,False,True,False,True,False,3,0
88.0,1.0,2.0,False,True,True,False,False,False,False,False,False,True,False,True,False,3,0
61.0,1.0,3.0,True,True,True,False,False,False,False,False,False,False,False,False,False,3,1
79.0,1.0,2.0,False,True,True,False,False,False,False,False,False,False,False,True,False,3,0
30.0,0.0,4.0,True,False,False,True,False,False,False,False,False,False,False,False,True,1,1
69.0,0.0,2.0,True,True,False,False,False,False,True,False,False,False,False,True,False,3,0
65.0,1.0,2.0,True,True,True,True,False,False,False,False,False,False,False,False,False,3,0
70.0,1.0,2.0,False,True,True,False,False,False,False,False,False,True,False,False,True,3,0
32.0,0.0,4.0,True,True,False,False,False,False,False,True,False,False,False,False,False,1,1
46.0,1.0,4.0,True,True,True,False,False,True,False,False,False,False,False,False,True,2,1
21.0,8.0,5.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,1
47.0,1.0,3.0,True,True,True,True,False,False,False,False,False,False,False,False,True,2,1
39.0,0.0,2.0,False,False,False,False,False,False,False,False,False,False,True,False,True,1,0
85.0,0.0,3.0,True,True,True,False,False,False,False,False,False,True,False,False,True,3,1
66.0,0.0,2.0,False,False,True,False,False,False,False,False,False,False,False,False,True,3,0
50.0,1.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,2,0
42.0,0.0,3.0,False,True,True,False,False,False,False,False,False,False,False,False,False,2,1
53.0,9.0,1.0,True,True,True,False,False,False,False,False,False,False,False,False,True,2,0
37.0,1.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,True,1,0
45.0,1.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,True,2,0
66.0,1.0,1.0,False,False,False,False,False,False,False,False,False,True,False,False,True,3,0
33.0,1.0,2.0,True,False,False,False,False,False,False,False,False,False,True,False,True,1,0
40.0,4.0,1.0,True,True,True,False,False,False,False,False,False,False,False,False,True,1,0
35.0,1.0,1.0,False,True,True,False,False,False,False,False,False,False,False,False,True,1,0
27.0,1.0,2.0,True,False,True,False,False,False,False,False,False,False,False,False,True,1,0
48.0,0.0,3.0,False,True,True,False,False,False,False,False,False,False,False,False,False,2,1
56.0,0.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,2,0
25.0,1.0,6.0,True,True,True,False,False,False,False,True,False,False,False,False,True,0,2
30.0,1.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
46.0,7.0,3.0,False,True,True,False,False,True,False,False,False,False,False,False,True,2,1
49.0,0.0,2.0,True,True,False,False,False,False,False,False,False,True,False,False,True,2,0
72.0,1.0,4.0,True,True,False,False,False,False,False,False,False,False,True,False,True,3,1
79.0,1.0,2.0,False,True,True,False,False,False,False,False,False,True,False,True,False,3,0
35.0,1.0,3.0,False,False,True,False,False,False,False,False,False,False,False,False,True,1,1
77.0,0.0,1.0,False,True,True,False,False,False,False,False,False,True,False,False,True,3,0
42.0,6.0,4.0,True,True,True,False,False,False,False,True,False,False,False,True,False,2,1
42.0,1.0,1.0,False,False,True,False,True,False,False,False,False,False,False,False,True,2,0
67.0,1.0,2.0,True,True,False,False,False,False,False,False,False,True,False,True,False,3,0
26.0,1.0,1.0,True,False,True,False,False,False,False,True,False,False,False,False,True,1,0
67.0,1.0,2.0,True,True,True,False,False,False,False,False,False,True,False,True,False,3,0
55.0,1.0,1.0,True,True,True,False,True,False,False,False,False,False,False,False,True,2,0
56.0,1.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,2,0
63.0,1.0,4.0,True,True,True,False,False,False,False,False,False,False,False,False,False,3,1
46.0,8.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,False,2,0
32.0,7.0,2.0,True,True,True,False,False,False,False,True,False,False,False,False,True,1,0
49.0,13.0,1.0,False,False,True,False,False,False,False,False,True,False,False,False,True,2,0
59.0,1.0,2.0,True,True,True,False,False,False,False,False,False,False,False,True,False,2,0
22.0,8.0,5.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,1
28.0,8.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,True,1,0
28.0,1.0,3.0,True,False,True,False,False,True,False,False,False,False,False,False,True,1,1
75.0,2.0,1.0,True,True,True,False,False,False,False,False,False,True,False,False,True,3,0
37.0,13.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,True,1,0
50.0,0.0,2.0,True,True,True,True,False,False,False,False,False,False,False,False,False,2,0
50.0,1.0,4.0,False,True,True,False,False,False,True,False,False,False,False,True,False,2,1
88.0,1.0,2.0,False,True,False,False,False,False,False,False,False,True,False,False,True,3,0
35.0,3.0,5.0,False,True,True,False,False,False,False,False,False,False,False,False,False,1,1
35.0,1.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0
31.0,1.0,3.0,True,True,False,False,False,True,False,False,False,False,False,False,False,1,1
46.0,0.0,1.0,True,True,True,False,False,False,False,False,False,False,False,False,True,2,0
50.0,1.0,4.0,False,True,True,False,False,False,False,False,False,False,False,False,False,2,1
33.0,7.0,3.0,False,False,True,False,False,False,False,False,False,False,False,False,True,1,1
49.0,0.0,1.0,True,True,True,False,False,False,False,False,False,False,False,False,True,2,0
52.0,1.0,3.0,True,True,True,False,False,False,False,False,False,False,False,False,False,2,1
25.0,0.0,3.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,1
41.0,6.0,1.0,False,True,True,False,False,False,False,False,False,False,False,False,True,2,0
68.0,0.0,2.0,False,True,True,False,False,False,False,False,False,False,False,True,False,3,0
79.0,2.0,2.0,False,True,False,False,False,False,False,False,False,True,False,True,False,3,0
40.0,5.0,5.0,True,True,True,False,False,True,False,False,False,False,False,False,False,1,1
62.0,1.0,1.0,False,False,True,True,False,False,False,False,False,False,False,False,True,3,0
20.0,1.0,4.0,False,False,False,False,False,False,False,True,False,False,False,False,True,0,1
28.0,1.0,5.0,True,False,True,False,False,True,False,False,False,False,False,False,True,1,1
57.0,0.0,2.0,True,True,True,True,False,False,False,False,False,False,False,False,False,2,0
25.0,8.0,2.0,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0
63.0,8.0,1.0,False,True,False,False,True,False,False,False,False,False,False,False,True,3,0
26.0,1.0,3.0,False,True,False,False,False,True,False,False,False,False,False,False,True,1,1
50.0,0.0,3.0,False,True,False,False,False,False,False,False,False,False,True,True,False,2,1
30.0,9.0,4.0,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1
26.0,1.0,4.0,False,False,False,False,True,False,False,False,False,False,False,False,True,1,1
42.0,3.0,1.0,True,False,True,False,False,False,False,False,False,False,False,False,True,2,0
88.0,4.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,True,3,0
45.0,3.0,3.0,True,True,False,False,False,False,False,False,False,False,False,False,False,2,1
86.0,1.0,1.0,False,True,True,False,False,False,False,False,False,True,False,False,True,3,0
18.0,1.0,5.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,1
37.0,1.0,1.0,True,False,True,False,False,True,False,False,False,False,False,False,True,1,0
46.0,1.0,1.0,True,True,True,False,False,False,False,False,False,False,False,False,True,2,0
58.0,1.0,2.0,True,True,False,False,False,False,False,False,False,False,False,False,False,2,0
72.0,8.0,2.0,False,True,True,False,False,False,False,False,False,True,False,True,False,3,0
50.0,0.0,3.0,False,True,True,False,False,False,False,False,False,False,False,True,False,2,1
56.0,8.0,3.0,False,True,True,False,True,False,False,False,False,False,False,False,False,2,1
46.0,3.0,3.0,True,False,False,False,False,False,False,False,False,False,False,False,True,2,1
57.0,1.0,1.0,True,True,True,False,False,False,False,False,False,False,False,False,True,2,0
42.0,9.0,6.0,True,True,False,False,False,False,True,False,False,False,False,True,False,2,2
20.0,1.0,4.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,1
19.0,1.0,3.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,1
19.0,4.0,4.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,1
68.0,1.0,1.0,True,True,True,False,False,False,True,False,False,False,False,False,True,3,0
40.0,0.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,True,1,0
82.0,1.0,2.0,True,True,False,False,False,False,False,False,False,True,False,True,False,3,0
23.0,1.0,3.0,False,False,False,False,False,False,False,True,False,False,False,False,True,0,1
84.0,1.0,2.0,False,True,False,False,False,False,False,False,False,True,False,True,False,3,0
51.0,0.0,4.0,True,True,False,False,False,False,False,False,False,False,False,False,True,2,1
59.0,1.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,False,2,0
41.0,1.0,5.0,False,True,True,False,False,False,False,False,False,False,False,False,False,2,1
51.0,1.0,2.0,True,True,False,False,False,False,True,False,False,False,False,True,False,2,0
62.0,1.0,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,3,1
62.0,1.0,4.0,False,True,False,False,False,False,False,False,False,True,False,True,False,3,1
38.0,8.0,1.0,False,True,True,False,False,False,False,False,False,False,False,False,True,1,0
18.0,1.0,4.0,True,False,False,False,False,False,False,False,False,False,False,False,True,0,1
22.0,3.0,4.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,1
30.0,0.0,3.0,False,True,True,True,False,False,False,False,False,False,False,False,True,1,1
62.0,1.0,1.0,False,True,True,False,False,True,False,False,False,False,False,False,True,3,0
43.0,1.0,3.0,False,False,False,False,False,True,False,False,False,False,False,False,True,2,1
32.0,1.0,1.0,False,False,True,False,True,False,False,False,False,False,False,False,True,1,0
37.0,1.0,2.0,True,True,True,False,False,False,False,False,False,False,False,True,False,1,0
48.0,1.0,1.0,True,False,True,False,False,False,False,False,False,False,False,False,True,2,0
31.0,4.0,2.0,False,False,True,False,True,False,False,False,False,False,False,False,True,1,0
46.0,4.0,4.0,True,True,False,False,False,False,False,False,False,False,False,True,False,2,1
49.0,1.0,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,2,1
43.0,1.0,4.0,True,True,False,True,False,False,False,False,False,False,False,False,False,2,1
42.0,8.0,1.0,True,False,True,False,False,False,False,False,False,False,False,False,True,2,0
37.0,1.0,2.0,True,True,True,True,False,False,False,False,False,False,False,False,True,1,0
72.0,1.0,2.0,True,True,True,False,False,True,False,False,False,False,False,True,False,3,0
71.0,1.0,1.0,True,True,False,False,False,False,True,False,False,False,False,True,False,3,0
39.0,1.0,1.0,False,False,True,False,True,False,False,False,False,False,False,False,True,1,0
20.0,0.0,5.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,1
26.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0
72.0,1.0,1.0,True,True,True,False,False,False,True,False,False,False,False,False,True,3,0
70.0,0.0,1.0,True,True,True,False,False,False,False,True,False,False,False,False,True,3,0
45.0,2.0,1.0,True,False,True,False,False,False,False,False,False,False,False,False,True,2,0
33.0,7.0,5.0,True,False,False,False,False,False,True,False,False,False,False,False,True,1,1
50.0,0.0,3.0,True,True,False,False,False,True,False,False,False,False,False,False,False,2,1
31.0,6.0,1.0,True,False,True,False,False,True,False,False,False,False,False,False,True,1,0
68.0,1.0,2.0,False,True,False,False,False,False,False,False,False,False,False,True,False,3,0
49.0,1.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,True,2,0
49.0,0.0,2.0,True,True,True,False,False,False,False,False,False,False,True,True,False,2,0
18.0,1.0,3.0,False,False,False,False,False,False,False,True,False,False,False,False,True,0,1
85.0,2.0,2.0,False,True,False,False,False,True,False,False,False,False,False,False,False,3,0
38.0,1.0,4.0,False,False,True,False,False,True,False,False,False,False,False,False,True,1,1
28.0,0.0,4.0,True,True,False,False,False,False,False,False,False,False,False,False,True,1,1
46.0,3.0,2.0,True,True,False,False,False,False,False,False,False,False,False,False,False,2,0
59.0,9.0,3.0,True,True,True,False,False,False,False,False,True,False,False,False,False,2,1
56.0,0.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,True,2,0
69.0,0.0,1.0,True,True,True,False,False,False,False,False,False,False,False,False,True,3,0
66.0,0.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,True,3,0
18.0,4.0,6.0,True,False,False,False,False,False,False,True,False,False,False,False,True,0,2
36.0,4.0,1.0,True,False,True,False,False,False,False,False,False,False,False,False,True,1,0
31.0,1.0,2.0,True,False,True,False,False,False,False,False,False,False,True,False,True,1,0
67.0,1.0,2.0,True,True,False,False,False,False,True,False,False,False,False,True,False,3,0
39.0,7.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,True,1,0
42.0,4.0,3.0,True,False,True,False,False,True,False,False,False,False,False,False,True,2,1
50.0,0.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,True,2,0
37.0,0.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,1,0
59.0,0.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,True,2,0
50.0,8.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,True,2,0
48.0,8.0,3.0,True,True,True,False,False,False,False,False,False,False,False,False,True,2,1
55.0,9.0,1.0,True,True,True,False,False,False,False,False,False,False,False,False,True,2,0
33.0,1.0,3.0,False,False,True,True,False,False,False,False,False,False,False,False,True,1,1
38.0,13.0,1.0,True,False,True,False,False,False,False,False,False,False,False,False,True,1,0
43.0,0.0,2.0,True,False,True,False,False,False,False,False,False,False,False,False,True,2,0
53.0,0.0,2.0,False,False,True,False,False,False,False,False,False,False,False,False,True,2,0
37.0,0.0,1.0,True,False,True,False,False,True,False,False,False,False,False,False,True,1,0
36.0,5.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,True,1,0
36.0,5.0,1.0,True,False,True,False,False,False,False,False,False,False,False,False,True,1,0
62.0,1.0,1.0,True,True,True,False,False,False,False,False,False,False,False,False,True,3,0
38.0,2.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0
55.0,1.0,1.0,True,False,True,False,False,True,False,False,False,False,False,False,True,2,0
60.0,1.0,2.0,True,True,False,False,False,True,False,False,False,False,False,False,False,2,0
36.0,7.0,2.0,False,True,True,False,False,True,False,False,False,False,False,False,False,1,0
30.0,5.0,9.0,True,False,False,False,False,True,False,False,False,False,False,False,True,1,2
66.0,4.0,3.0,False,False,False,False,False,True,False,False,False,False,False,False,True,3,1
45.0,1.0,1.0,True,True,True,False,False,True,False,False,False,False,False,False,True,2,0
40.0,6.0,2.0,False,False,True,False,False,True,False,False,False,False,False,False,True,1,0
45.0,5.0,3.0,False,True,True,False,False,True,False,False,False,False,False,False,True,2,1
41.0,2.0,1.0,True,True,True,False,False,False,False,False,False,False,False,False,True,2,0
62.0,4.0,1.0,False,True,True,False,False,False,False,False,True,False,False,False,True,3,0
61.0,1.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,True,3,0
50.0,4.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,True,2,0
53.0,3.0,2.0,True,True,True,False,False,True,False,False,False,False,False,False,True,2,0
39.0,7.0,1.0,True,False,True,False,False,False,False,False,False,False,False,False,True,1,0
86.0,0.0,1.0,False,False,True,False,False,False,False,False,False,True,False,False,True,3,0
50.0,1.0,1.0,True,True,True,False,False,False,False,False,False,False,False,False,True,2,0
46.0,4.0,2.0,False,False,False,False,False,True,False,False,False,False,False,False,True,2,0
52.0,0.0,1.0,True,False,True,False,False,False,False,False,False,False,True,False,True,2,0
45.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,0
37.0,9.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,True,1,0
36.0,3.0,1.0,False,True,True,False,True,False,False,False,False,False,False,False,True,1,0
25.0,1.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0
40.0,1.0,1.0,False,False,False,True,False,False,False,False,False,False,False,False,True,1,0
41.0,11.0,2.0,True,True,True,False,False,False,False,False,False,False,False,True,False,2,0
25.0,1.0,2.0,False,True,True,False,False,False,False,False,True,False,False,True,False,0,0
80.0,4.0,2.0,True,True,False,False,False,False,False,False,False,True,False,False,False,3,0
